generation,Alakazam Dudunsparce,Ceruledge,Charizard Noctowl,Charizard Pidgeot,Crustle,Cynthia's Garchomp,Dragapult Charizard,Dragapult Dusknoir,Dragonite Eelektrik,Festival Lead,Flareon Noctowl,Froslass Munkidori,Gardevoir,Gardevoir Jellicent,Gholdengo Lunatone,Greninja,Grimmsnarl Froslass,Iron Hands Magneton,Joltik Box,Kangaskhan Bouffalant,Lucario Hariyama,Mega Absol Box,Mega Venusaur,N's Zoroark,Ogerpon Meganium,Raging Bolt Ogerpon,Rocket's Honchkrow,Rocket's Mewtwo,Tera Box
23,0.0289582527021911,0.0022259029458977183,0.09337032779517522,0.009938604450996171,0.019889106799952122,0.001970356008922659,0.019767646992492605,0.05439219532553484,7.5684938218243434e-06,0.01560261084000042,0.0004827396297406595,0.03894730278871139,0.13182831198657557,0.04589163101259548,0.08113737456702005,0.05390108866960234,0.05689486353826804,0.0016057948946170363,0.02240348605548431,0.22430583752501568,0.0033350330729805065,0.024837327708054444,0.008542468544537928,0.015879500809386493,0.0016662209814667344,0.016844475061296993,0.0192451707703069,0.0002447335242497178,0.0058840665051051715
24,0.02913452504513587,0.0019042751052377959,0.0944983820224672,0.008680533689403452,0.019335892200384466,0.0019185333542632147,0.018353918537372185,0.052466442267633806,4.658306041610715e-06,0.012815111298033042,0.0004071203213234231,0.0370242584697374,0.1338570232975576,0.04387183746638531,0.08183023964958154,0.05620170135948405,0.057597256784499194,0.001284179991214201,0.020004185523617386,0.23577919083143722,0.003242486688626005,0.02412388731456665,0.008248564481281341,0.015282955290482425,0.001514160267683174,0.01680016862018436,0.018232205083430483,0.00016924641205725503,0.005417060320878361
25,0.029425492369215073,0.0016256987846587358,0.095585055761781,0.007548372622790939,0.018888689761777978,0.0018816193384336864,0.016982686454319548,0.05037260094256024,2.8505544463240553e-06,0.010410613181858966,0.0003450411545408554,0.035076912810576795,0.13574341337082477,0.0418173674192942,0.08234398703520537,0.05881172186234342,0.0581484224808484,0.0010188724648631442,0.01770567863239722,0.24642205812584603,0.0031794589467739466,0.02335787108961218,0.008002595228206101,0.014710511058606641,0.0013817964291612628,0.016816274726180927,0.01727749961573979,0.00011601514075802005,0.005000822636378452
26,0.029826814279512753,0.0013847956298252326,0.09665322923581014,0.006537993179462495,0.018541247816048715,0.0018568693016032026,0.015662290769095057,0.04816121425739985,1.7347722700031816e-06,0.008373410467920207,0.00029375501749700545,0.03313321926587871,0.13752569807012924,0.03976418421334158,0.08267421196162944,0.0617480833745044,0.05854563780809096,0.0008022438145294718,0.015538919127065428,0.25609108900764976,0.0031423250299279417,0.022545297307992734,0.007797751153982247,0.014160973266842965,0.00126580077170422,0.016887963368060446,0.016374354591618515,7.889317008117801e-05,0.004629999970526164
27,0.03033240086216758,0.001176889878181052,0.09772711849601105,0.005643275662380355,0.01828827971690448,0.001841781720606758,0.014399365096454429,0.04588050612044205,1.0502523399333589e-06,0.006675444400087397,0.0002511104372878424,0.031217501750014694,0.1392436709350647,0.03774389411654564,0.08281920232347106,0.06502435796870512,0.05879039448853413,0.0006271624302929354,0.013527938861580371,0.2646633642583748,0.0031278959632828934,0.02169363067241809,0.007627569951902318,0.013633465715866178,0.0011633818768890052,0.017010107443187754,0.015516148554603837,5.3270384026575964e-05,0.004299819662376823
28,0.030934240503274143,0.0009978890570961664,0.09883229147807553,0.004856644759392443,0.018125562893713545,0.001834008808638352,0.013198866922224014,0.04357460386144622,6.327105165125329e-07,0.005281039436400046,0.00021541955891557466,0.029350178545020877,0.1409381067365845,0.03578324936261335,0.08277990070119841,0.0686496001056199,0.05888817834149354,0.00048706982437473397,0.011689177325028806,0.27203745038998345,0.0031332839337079267,0.020811397336465025,0.007485900359874401,0.013127411374621175,0.0010722020812554745,0.017177245163832358,0.014696644123286697,3.5749726279685006e-05,0.004006054579066935
29,0.03162217023098616,0.0008441871924998362,0.09999566765137284,0.004169568876966089,0.01804994480009715,0.0018312861496582846,0.012064173806014445,0.04128236061058972,3.793969575987761e-07,0.004151005039388912,0.00018535529292342727,0.027547746772031822,0.1426502591913058,0.03390399272174783,0.08255973077488535,0.07262694096722509,0.05884810866119914,0.00037604562926721986,0.010031472949567919,0.2781337986788894,0.0031557776024944695,0.019907781205019195,0.007366866641797307,0.01264249311063226,0.0009903088042140006,0.01738353827860674,0.013910192855554853,2.3869234127736158e-05,0.0037449768739793846
30,0.0323836158235676,0.0007125892704168032,0.1012454992860351,0.003573003504714481,0.018059279927159097,0.0018313825952719662,0.010997229690027019,0.03903673049660607,2.265018741143464e-07,0.0032458731005246206,0.00015987143670746589,0.025822961929377948,0.14442142882451134,0.03212297738555779,0.08216432978452091,0.07695194268450127,0.05868247109911673,0.0002888494697758829,0.008556632934121866,0.28289485103850165,0.0031927283107710653,0.018992228198513702,0.007264842406677995,0.012178601026598573,0.000916078101074867,0.017622731555364514,0.013151865368058737,1.587203193042129e-05,0.0035133062181204036
31,0.03320333838698258,0.0006002538623718128,0.10261133219452179,0.0030577662731157604,0.01815231373076718,0.001832072540393876,0.009998724054444455,0.036864605335969955,1.3466204012500918e-07,0.0025282122893062076,0.00013814074740750327,0.02418514726282297,0.1462925661292704,0.03045248620949725,0.08160122919311971,0.08161075386932459,0.05840617810699901,0.00022093399587227433,0.007260433665450407,0.2862851393492869,0.0032414491624620906,0.018074080521746173,0.007174441131202672,0.01173577234718063,0.000848168243242692,0.017888119873910858,0.012417528412302464,1.0522173045274597e-05,0.0033081562759423346
32,0.03406323319020373,0.0005046500491563357,0.10412394222835554,0.0026148383909372496,0.018328521233501396,0.0018311331061313053,0.009068287374006901,0.034787003273250766,7.974711810196098e-08,0.0019640870902641002,0.00011950695905109694,0.022640576338177676,0.14830386923677663,0.02890067621241815,0.08087952073115975,0.08657814896585757,0.05803618959169836,0.0001684290942394927,0.00613387611517561,0.2882915453028244,0.003299130277344857,0.0171622574676697,0.007090529197011336,0.011314129004341197,0.0007854814436624028,0.018172529995553494,0.01170388507446656,6.961426319812213e-06,0.0031269818833264784
33,0.03494223393551854,0.00042352477194485916,0.1058152413923473,0.002235593244487359,0.018587900711561293,0.001826368422392175,0.008204688546145224,0.03281950117322466,4.7051922645699805e-08,0.0015238045305307401,0.00010344758359647577,0.021192884650443063,0.15049433350965066,0.027472083612325966,0.0800095365958754,0.09181558230335782,0.05759092401455728,0.00012810153651665398,0.005164526235909704,0.2889237512221356,0.003362774830682149,0.016264993656868332,0.007008265185347917,0.010913817090250483,0.0007271320716748705,0.018468324391501034,0.01100848857690651,4.600775164485667e-06,0.0029675283771608226
34,0.03581637944005582,0.00035487722006285387,0.10771814478453699,0.0019119575573423619,0.018930716751589322,0.0018156618697641258,0.007406022997159096,0.030972815937098098,2.7664593507797925e-08,0.0011821214039079379,8.954502569031439e-05,0.019843478986394655,0.1529012117346385,0.026168137750455685,0.07900256281244651,0.09726943975246793,0.05708968709818619,9.729669976646324e-05,0.004337799741685178,0.28821478212676316,0.0034291615522234835,0.015389640345465132,0.00692316645103406,0.010534951320846739,0.0006724198653602455,0.018767434207702105,0.010329734991182834,3.0401248603168495e-06,0.002827783786720267
