generation,Alakazam Dudunsparce,Ceruledge,Charizard Noctowl,Charizard Pidgeot,Crustle,Cynthia's Garchomp,Dragapult Charizard,Dragapult Dusknoir,Dragonite Eelektrik,Festival Lead,Flareon Noctowl,Froslass Munkidori,Gardevoir,Gardevoir Jellicent,Gholdengo Lunatone,Greninja,Grimmsnarl Froslass,Iron Hands Magneton,Joltik Box,Kangaskhan Bouffalant,Lucario Hariyama,Mega Absol Box,Mega Venusaur,N's Zoroark,Ogerpon Meganium,Raging Bolt Ogerpon,Rocket's Honchkrow,Rocket's Mewtwo,Tera Box
10,0.01107020022461595,0.03763013850266001,0.039275305488675666,0.009027926952991263,0.016045009326940207,0.0017519200854572011,0.05527910606820402,0.026161801424507566,0.00015824408025978445,0.0026111010929812054,0.0005446717446987985,0.06972966755503783,0.16565191453811795,0.04202106066127829,0.06253976809535872,0.011125542171421825,0.08452308987450424,0.004993901682817724,0.032278856023958136,0.1863004267219157,0.00037904753563755615,0.012160340899189666,0.00032313753797153313,0.005685719545915537,0.008290019753061654,0.10917624034747665,0.0006950513769308885,0.00017569773595029696,0.004395092951464064
11,0.025795271725250122,0.02554409889306412,0.04112146867371761,0.008552786555161455,0.011260851379652367,0.0030242004821426807,0.046111236217886015,0.027003029048673546,0.000149915683758533,0.0024736786682592296,0.000516005634437783,0.046088351936806916,0.16257138197851317,0.017887556649980856,0.05635872243841915,0.034994046126547114,0.09237129477930763,0.0002355462202567993,0.0305800176779486,0.21804980816589153,0.00035909823854897443,0.006322497382676108,0.0003061307877901233,0.0029561627626801855,0.019317022980524727,0.11163799753922657,0.0006584707765929919,0.00016645075238564145,0.007586899843899434
12,0.023407195694504154,0.013859527292975432,0.11371193066063873,0.010476235616535202,0.008366072220229141,0.0027442258898802566,0.02919241545332355,0.016424946734876288,0.00013603678165469507,0.004090055979113728,0.0008531795004214578,0.04964219088098662,0.1722635606822272,0.04779674718354037,0.0368021782709035,0.043627045597403484,0.09763254741471572,3.533095293092363e-05,0.008934013374760347,0.19160441960642427,0.0003258536228187795,0.0031486272378046954,0.0002777897955190723,0.016228100496444187,0.013554195690748177,0.08984749620699488,0.0010887357244225523,0.00015104106582348417,0.003778304371379084
13,0.041617994458944034,0.014456276837303973,0.11095863517178693,0.010222575581958555,0.00997092796146796,0.0032706481533626903,0.03381236796421446,0.016027251158985237,0.00013274293680418776,0.007272119620698197,0.000832521551373862,0.042651289883094266,0.14908472715966414,0.053801636177709465,0.04048964186624082,0.028308621909233507,0.11380401959714667,3.447548813706784e-05,0.008717695011514195,0.19985432941030484,0.0003179637619702246,0.005598259297973198,0.00014876291227936304,0.023623299395994998,0.010227114082283556,0.07028442785131452,0.0010623742763212931,0.00014738392375626997,0.003269916598161509
14,0.04196271021144052,0.014407994692447364,0.12471493226622758,0.0078036099154198514,0.016939726170115698,0.0005040781550904075,0.018494644204509796,0.06416264561840888,0.00012376719253121268,0.00372116084836042,0.0007762285332534694,0.0358590906835433,0.12200571278753258,0.037823810326581254,0.03775183389057565,0.01719438470999758,0.13766773582368896,3.214434214426241e-05,0.0024481747302093843,0.204457498535772,0.00029646385030465856,0.01283843722182581,0.00013870393746632078,0.01917792385856791,0.0234537478736264,0.04743978443125031,0.005992412921854829,0.00013741819268663614,0.0016732240745668946
15,0.04686113109779326,0.007728054158420733,0.13700091071817272,0.006244245388482632,0.011550576970382791,0.0002703737310964939,0.011641252657958135,0.058934466975288986,0.00012096196856473251,0.003636819518631091,0.000758635059244602,0.023492259312171804,0.12320738690620324,0.03087703403963276,0.05052122950332594,0.017963167155690383,0.15220139443333827,3.141578009865341e-05,0.0003955083435803362,0.22585268892240845,0.00015901509821969337,0.004615948833850387,0.0001355601672824123,0.01979400548314487,0.01642444605843946,0.03990633471633859,0.007905573535162684,0.0001343035643293861,0.0016352999027466207
16,0.036511682832788724,0.00411024500860725,0.12248837077468622,0.0014922511762930357,0.008292578220163545,0.0002620225911235111,0.018432025696806853,0.04676109865411193,0.00011722576857668295,0.006422035192542375,0.0007352027992300269,0.018639752112546513,0.13872513682627796,0.016422267810288202,0.04124750381145648,0.008361314014670943,0.17777110725002218,3.0445428519377125e-05,0.00038329212152234636,0.2481640198045447,0.0001541035362211783,0.008151019237028328,0.00013137306697815838,0.01831738899349102,0.0111050101667465,0.05220407780372829,0.013959964523935548,0.00013015527721570595,0.00047732949987656204
17,0.055741371160876,0.0034656103454300726,0.0978297446284738,0.0014186304860623106,0.010641559555103281,0.0002490956225802691,0.016392585606731746,0.045742561299825846,0.00011144239769881143,0.011124403394077472,0.000698931333407944,0.006518880338396638,0.1032166568341896,0.013846663909225938,0.04789431060046317,0.005695568313994476,0.18412543138082602,2.894339354190454e-05,0.00036438228181521863,0.2583732156965644,0.00014650078885274813,0.03949288508407966,0.00012489173459771734,0.00609370913911451,0.024454212618691566,0.06127534409352035,0.0043549536410171395,0.00012373402488364548,0.0004537802959578924
18,0.06101583822066078,0.001237755446351926,0.07904094830662109,0.0013772693572274444,0.012618675515236426,0.00024183307166305217,0.017011790365548923,0.03938716636309012,0.00010819321941442168,0.004390978308478642,0.000678553518880602,0.004415466479776114,0.10952249750285084,0.006727122511514329,0.03746501533794153,0.005529510177547125,0.19048195808570434,2.8099529377862906e-05,0.0006445899600324133,0.2644777537715756,0.00014222945952373646,0.03400580970464739,0.00012125043182306428,0.010779733061836598,0.02818082889129299,0.0874880911650385,0.00232036573512016,0.00012012647591670173,0.0004405500253072631
19,0.05997550593813385,0.0011744597667389196,0.09662215260239435,0.0013068392894520905,0.01877801092779566,0.0002294663406832544,0.006562786656815314,0.033816494616062794,0.00010266049211151321,0.002286587896766923,0.0011731784962856534,0.016989952498588846,0.08446742110394612,0.0035031275115149636,0.046413153204850316,0.005246745027414739,0.16258221013359533,2.6662590591594963e-05,0.0011144575320737819,0.26908659339301844,0.00013495620507910535,0.036380759041029664,0.0001150499917375603,0.0037628492746871597,0.06864907901680718,0.07676512742084254,0.0022017081064358867,0.00011398351209046846,0.000418021412456044
20,0.060567527158460394,0.00018801574930515423,0.1019502050203104,0.0023061365842627878,0.00998065518673316,0.00022223125734098078,0.0063558617183766845,0.026255047141815178,9.942360249112704e-05,0.002214491684515127,0.0006235532660482766,0.009030288574195465,0.08514265086776843,0.011264073544663208,0.042922288286974336,0.020605748162942836,0.17279461854288705,2.582191799239494e-05,0.00017841017112355832,0.2461795417196166,0.00013070103027483155,0.029533689634250418,6.114994294040937e-05,0.003644206479296288,0.07751397734551617,0.08756216646539604,0.0021322881575318708,0.00011038960717542061,0.00040484117979547616
21,0.0546092976727102,9.825011763815664e-05,0.06189721729725111,0.002195839351473573,0.009503303300451932,0.00021160244511396616,0.004954856507466921,0.023387046292060946,9.466839922019338e-05,0.0003485455358941385,0.0005937301409952617,0.013199071267938907,0.08387109822867748,0.005886190677844824,0.03576782027004537,0.03128777532118075,0.24822370704713476,2.4586914775626814e-05,0.00016987722111935492,0.24088618420993727,0.00012444989924452368,0.010607086856566248,5.8225281175979824e-05,0.0034699124270177674,0.0570715721354616,0.11031498026343566,0.0003356072744569361,0.00010510992500775335,0.00070238771870288
